NOMBRE_ENTIDAD,Casos_Coste_Oportunidad,Indice_Dependencia_Promedio,Porcentaje_Opacidad
Baja California,82,0.07791107974594214,49.11785462244178
Chihuahua,95,0.09147135416666667,26.106770833333332
Colima,13,0.09558638083228246,28.49936948297604
Guanajuato,134,0.10604306552442695,20.21301227135911
Guerrero,61,0.10859780727062898,22.73514137334103
Morelos,66,0.12891373801916933,17.0926517571885
Quintana Roo,41,0.14121621621621622,19.03153153153153
Zacatecas,47,0.08981762917933131,20.288753799392097
